"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 08 09:33:44 GMT 2023","Mon May 08 09:33:49 GMT 2023","5015","tests","test_footer_functionality","","","","test_footer_link_to_home[https://impresso-expresso.netlify.app/contact]",""
"passed","Sat Jun 10 12:27:50 GMT 2023","Sat Jun 10 12:28:03 GMT 2023","13788","tests","test_our_menu_page","","","","test_check_coffee_button[setup_browser_firefox]",""
"passed","Sat Jun 10 12:24:44 GMT 2023","Sat Jun 10 12:25:00 GMT 2023","16142","tests","test_footer_functionality","","","","test_footer_link_to_menu[setup_browser_firefox-https://impresso-expresso.netlify.app/contact]",""
"passed","Sat Jun 10 12:22:37 GMT 2023","Sat Jun 10 12:22:49 GMT 2023","11659","tests","test_contact_us_page","","","","test_check_description_contact_us[setup_browser_firefox]",""
"passed","Sat Jun 10 12:21:05 GMT 2023","Sat Jun 10 12:21:26 GMT 2023","20519","tests","test_cart_functionality","","","","test_check_street_address_2[setup_browser_firefox]",""
"passed","Sat Jun 10 12:26:46 GMT 2023","Sat Jun 10 12:26:55 GMT 2023","8191","tests","test_our_menu_page","","","","test_check_all_button[setup_browser_chrome]",""
"passed","Sat Jun 10 12:21:28 GMT 2023","Sat Jun 10 12:21:43 GMT 2023","15189","tests","test_cart_functionality","","","","test_check_city[setup_browser_chrome]",""
"passed","Sat Jun 10 12:25:01 GMT 2023","Sat Jun 10 12:25:09 GMT 2023","8016","tests","test_footer_functionality","","","","test_footer_link_to_info[setup_browser_chrome-https://impresso-expresso.netlify.app/about]",""
"passed","Mon May 08 09:36:36 GMT 2023","Mon May 08 09:36:42 GMT 2023","5284","tests","test_footer_functionality","","","","test_footer_link_to_contacts[https://impresso-expresso.netlify.app/contact]",""
"passed","Sat Jun 10 12:24:25 GMT 2023","Sat Jun 10 12:24:40 GMT 2023","14450","tests","test_footer_functionality","","","","test_footer_link_to_products[setup_browser_firefox-https://impresso-expresso.netlify.app/]",""
"passed","Mon May 08 09:35:42 GMT 2023","Mon May 08 09:35:48 GMT 2023","5841","tests","test_footer_functionality","","","","test_footer_link_to_info[https://impresso-expresso.netlify.app/about]",""
"passed","Sat Jun 10 12:26:46 GMT 2023","Sat Jun 10 12:27:04 GMT 2023","18498","tests","test_footer_functionality","","","","test_footer_link_to_info[setup_browser_firefox-https://impresso-expresso.netlify.app/products]",""
"passed","Sat Jun 10 12:25:37 GMT 2023","Sat Jun 10 12:25:50 GMT 2023","13289","tests","test_footer_functionality","","","","test_footer_link_to_contacts[setup_browser_firefox-https://impresso-expresso.netlify.app/about]",""
"passed","Sat Jun 10 12:21:01 GMT 2023","Sat Jun 10 12:21:16 GMT 2023","15049","tests","test_cart_functionality","","","","test_check_name[setup_browser_chrome]",""
"passed","Sat Jun 10 12:25:17 GMT 2023","Sat Jun 10 12:25:25 GMT 2023","7647","tests","test_footer_functionality","","","","test_footer_link_to_info[setup_browser_chrome-https://impresso-expresso.netlify.app/]",""
"passed","Sat Jun 10 12:19:59 GMT 2023","Sat Jun 10 12:20:20 GMT 2023","20997","tests","test_cart_functionality","","","","test_check_street_address[setup_browser_chrome]",""
"passed","Sat Jun 10 12:22:20 GMT 2023","Sat Jun 10 12:22:30 GMT 2023","10711","tests","test_footer_functionality","","","","test_footer_link_to_home[setup_browser_chrome-https://impresso-expresso.netlify.app/products]",""
"passed","Sat Jun 10 12:22:15 GMT 2023","Sat Jun 10 12:22:27 GMT 2023","11910","tests","test_contact_us_page","","","","test_check_email_contact_us[setup_browser_firefox]",""
"passed","Sat Jun 10 12:24:12 GMT 2023","Sat Jun 10 12:24:19 GMT 2023","7253","tests","test_footer_functionality","","","","test_footer_link_to_menu[setup_browser_chrome-https://impresso-expresso.netlify.app/contact]",""
"passed","Sat Jun 10 12:20:49 GMT 2023","Sat Jun 10 12:21:05 GMT 2023","16238","tests","test_cart_functionality","","","","test_check_street_address_2[setup_browser_chrome]",""
"passed","Sat Jun 10 12:25:51 GMT 2023","Sat Jun 10 12:26:05 GMT 2023","14510","tests","test_footer_functionality","","","","test_footer_link_to_contacts[setup_browser_firefox-https://impresso-expresso.netlify.app/products]",""
"passed","Sat Jun 10 12:23:37 GMT 2023","Sat Jun 10 12:23:47 GMT 2023","9320","tests","test_footer_functionality","","","","test_footer_link_to_menu[setup_browser_chrome-https://impresso-expresso.netlify.app/]",""
"passed","Sat Jun 10 12:26:33 GMT 2023","Sat Jun 10 12:29:38 GMT 2023","185674","tests","test_cart_functionality","","","","test_check_province[setup_browser_firefox]",""
"passed","Sat Jun 10 12:25:54 GMT 2023","Sat Jun 10 12:26:05 GMT 2023","10850","tests","test_navigation_menu","Tests","","","test_menu_is_visible[setup_browser_firefox]",""
"passed","Sat Jun 10 12:27:07 GMT 2023","Sat Jun 10 12:27:24 GMT 2023","17055","tests","test_footer_functionality","","","","test_footer_link_to_info[setup_browser_firefox-https://impresso-expresso.netlify.app/about]",""
"passed","Sat Jun 10 12:27:16 GMT 2023","Sat Jun 10 12:27:23 GMT 2023","7010","tests","test_our_menu_page","","","","test_check_salads_button[setup_browser_chrome]",""
