"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Cart functionality checking","Проверка функции добавления товаров в корзину","0","0","1","0","0"
"","Check goods adding to the cart","Проверка функции добавления товаров в корзину","0","0","1","0","0"
"","Navigation menu functionality checking","Переход на страницу 'корзина' с помощью навигационного меню","0","0","1","0","0"
"","Move to cart page throw navigation menu","Переход на страницу 'корзина' с помощью навигационного меню","0","0","1","0","0"
"","Navigation menu functionality checking","Переход на домашнюю страницу с помощью навигационного меню","0","0","1","0","0"
"","Move to home page throw navigation menu","Переход на домашнюю страницу с помощью навигационного меню","0","0","1","0","0"
"","Navigation menu functionality checking","Переход на страницу 'продукты' с помощью навигационного меню","0","0","1","0","0"
"","Move to products page throw navigation menu","Переход на страницу 'продукты' с помощью навигационного меню","0","0","1","0","0"
"","Move to contact us page throw navigation menu","Переход на страницу 'контакты' с помощью навигационного меню","0","0","1","0","0"
"","Navigation menu functionality checking","Переход на страницу 'контакты' с помощью навигационного меню","0","0","1","0","0"
"","Navigation menu functionality checking","Переход на страницу 'меню' с помощью навигационного меню","0","0","1","0","0"
"","Move to menu page throw navigation menu","Переход на страницу 'меню' с помощью навигационного меню","0","0","1","0","0"
"","Move to about page throw navigation menu","Переход на страницу 'о нас' с помощью навигационного меню","0","0","1","0","0"
"","Navigation menu functionality checking","Переход на страницу 'о нас' с помощью навигационного меню","0","0","1","0","0"
