"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 11 23:26:55 GMT 2023","Thu May 11 23:27:07 GMT 2023","11806","","test_our_menu_page","","","","test_check_all_button[setup_browser_firefox]",""
"passed","Thu May 11 23:27:44 GMT 2023","Thu May 11 23:27:53 GMT 2023","8568","","test_our_menu_page","","","","test_check_bakery_button[setup_browser_chrome]",""
"passed","Thu May 11 23:26:22 GMT 2023","Thu May 11 23:26:36 GMT 2023","13853","","test_footer_functionality","","","","test_footer_link_to_contacts[setup_browser_firefox-https://impresso-expresso.netlify.app/contact]",""
"passed","Thu May 11 23:27:53 GMT 2023","Thu May 11 23:28:05 GMT 2023","11529","","test_our_menu_page","","","","test_check_bagels_button[setup_browser_firefox]",""
"passed","Thu May 11 23:22:20 GMT 2023","Thu May 11 23:22:28 GMT 2023","8201","","test_footer_functionality","","","","test_footer_visibility[setup_browser_firefox-https://impresso-expresso.netlify.app/menu]",""
"passed","Thu May 11 23:28:05 GMT 2023","Thu May 11 23:28:15 GMT 2023","10162","","test_our_menu_page","","","","test_check_coffee_button[setup_browser_firefox]",""
"passed","Thu May 11 23:19:05 GMT 2023","Thu May 11 23:19:20 GMT 2023","14273","","test_about_us_page","","","","test_check_block_5[setup_browser_firefox]",""
"passed","Thu May 11 23:27:45 GMT 2023","Thu May 11 23:27:57 GMT 2023","12056","","test_our_menu_page","","","","test_check_bakery_button[setup_browser_firefox]",""
"passed","Thu May 11 23:26:05 GMT 2023","Thu May 11 23:26:12 GMT 2023","6468","","test_navigation_menu","Tests","","","test_go_to_our_menu_page[setup_browser_chrome]",""
"passed","Mon May 08 09:34:59 GMT 2023","Mon May 08 09:35:05 GMT 2023","5293","tests","test_footer_functionality","","","","test_footer_link_to_products[https://impresso-expresso.netlify.app/about]",""
"passed","Mon May 08 09:33:52 GMT 2023","Mon May 08 09:33:58 GMT 2023","5903","tests","test_footer_functionality","","","","test_footer_link_to_menu[https://impresso-expresso.netlify.app/]",""
"passed","Mon May 08 09:32:38 GMT 2023","Mon May 08 09:32:41 GMT 2023","2305","tests","test_navigation_menu","Tests","","","test_go_to_products_page",""
"passed","Mon May 08 09:32:57 GMT 2023","Mon May 08 09:33:04 GMT 2023","7094","tests","test_footer_functionality","","","","test_footer_link_to_home[https://impresso-expresso.netlify.app/]",""
"passed","Thu May 11 23:19:44 GMT 2023","Thu May 11 23:19:51 GMT 2023","6889","","test_about_us_page","","","","test_check_block_3[setup_browser_chrome]",""
"passed","Thu May 11 23:24:58 GMT 2023","Thu May 11 23:25:10 GMT 2023","11758","","test_footer_functionality","","","","test_footer_link_to_info[setup_browser_firefox-https://impresso-expresso.netlify.app/about]",""
"passed","Mon May 08 09:33:07 GMT 2023","Mon May 08 09:33:12 GMT 2023","5480","tests","test_footer_functionality","","","","test_footer_link_to_home[https://impresso-expresso.netlify.app/menu]",""
"passed","Thu May 11 23:25:53 GMT 2023","Thu May 11 23:26:06 GMT 2023","12587","","test_footer_functionality","","","","test_footer_link_to_contacts[setup_browser_firefox-https://impresso-expresso.netlify.app/products]",""
"passed","Thu May 11 23:23:55 GMT 2023","Thu May 11 23:24:03 GMT 2023","8115","","test_footer_functionality","","","","test_footer_link_to_products[setup_browser_chrome-https://impresso-expresso.netlify.app/]",""
"passed","Mon May 08 09:36:19 GMT 2023","Mon May 08 09:36:25 GMT 2023","5589","tests","test_footer_functionality","","","","test_footer_link_to_contacts[https://impresso-expresso.netlify.app/products]",""
"passed","Thu May 11 23:27:42 GMT 2023","Thu May 11 23:27:53 GMT 2023","10218","","test_our_menu_page","","","","test_check_smoothies_button[setup_browser_firefox]",""
"passed","Thu May 11 23:22:25 GMT 2023","Thu May 11 23:25:18 GMT 2023","173797","","test_cart_functionality","","","","test_check_province[setup_browser_chrome]",""
"passed","Thu May 11 23:25:40 GMT 2023","Thu May 11 23:25:52 GMT 2023","11968","","test_footer_functionality","","","","test_footer_link_to_contacts[setup_browser_firefox-https://impresso-expresso.netlify.app/menu]",""
