"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Checking link from footer to info page","Проверка отображения заголовков нижнего меню","0","0","5","0","0"
"","Check goods adding to the cart","Проверка функции добавления товаров в корзину","0","1","0","0","0"
"","Cart functionality checking","Проверка функции добавления товаров в корзину","0","1","0","0","0"
"","Checking link from footer to home page","Проверка отображения заголовков нижнего меню","0","0","5","0","0"
"","Checking link from footer to contact page","Проверка отображения заголовков нижнего меню","0","0","5","0","0"
"","Checking footer titles visibility","Проверка отображения заголовков нижнего меню","0","0","5","0","0"
"","Navigation menu functionality checking","Переход на страницу 'меню' с помощью навигационного меню","0","0","1","0","0"
"","Move to menu page throw navigation menu","Переход на страницу 'меню' с помощью навигационного меню","0","0","1","0","0"
"","Navigation menu functionality checking","Переход на страницу 'контакты' с помощью навигационного меню","0","0","1","0","0"
"","Move to contact us page throw navigation menu","Переход на страницу 'контакты' с помощью навигационного меню","0","0","1","0","0"
"","Navigation menu functionality checking","Переход на домашнюю страницу с помощью навигационного меню","0","0","1","0","0"
"","Move to home page throw navigation menu","Переход на домашнюю страницу с помощью навигационного меню","0","0","1","0","0"
"","Checking link from footer to products page","Проверка отображения заголовков нижнего меню","0","0","5","0","0"
"","Navigation menu functionality checking","Переход на страницу 'корзина' с помощью навигационного меню","0","1","0","0","0"
"","Move to cart page throw navigation menu","Переход на страницу 'корзина' с помощью навигационного меню","0","1","0","0","0"
"","Checking link from footer to menu page","Проверка отображения заголовков нижнего меню","0","0","5","0","0"
"","Navigation menu functionality checking","Проверка видимости каждой кнопки навигационного меню","0","0","1","0","0"
"","Check the visibility of navigation menu","Проверка видимости каждой кнопки навигационного меню","0","0","1","0","0"
"","Navigation menu functionality checking","Переход на страницу 'продукты' с помощью навигационного меню","0","0","1","0","0"
"","Move to products page throw navigation menu","Переход на страницу 'продукты' с помощью навигационного меню","0","0","1","0","0"
"","Navigation menu functionality checking","Переход на страницу 'о нас' с помощью навигационного меню","0","0","1","0","0"
"","Move to about page throw navigation menu","Переход на страницу 'о нас' с помощью навигационного меню","0","0","1","0","0"
"","Checking titles visibility","Проверка отображения заголовков отделов главной страницы","0","0","1","0","0"
