"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Checking link from footer to info page","Проверка отображения заголовков нижнего меню","0","0","15","0","0"
"","Cart functionality checking","Проверка ввода индекса","0","0","2","0","0"
"","Сhecking the possibility of entering a zip","Проверка ввода индекса","0","0","2","0","0"
"","Checking link from footer to home page","Проверка отображения заголовков нижнего меню","0","0","15","0","0"
"","Checking link from footer to products page","Проверка отображения заголовков нижнего меню","0","0","15","0","0"
"","Cart functionality checking","Проверка ввода почтового адреса","0","0","2","0","0"
"","Сhecking the possibility of entering an email","Проверка ввода почтового адреса","0","0","2","0","0"
"","Navigation menu functionality checking","Переход на страницу 'меню' с помощью навигационного меню","0","0","3","0","0"
"","Move to menu page throw navigation menu","Переход на страницу 'меню' с помощью навигационного меню","0","0","3","0","0"
"","Сhecking the possibility of entering a name","Проверка ввода имени","0","0","2","0","0"
"","Cart functionality checking","Проверка ввода имени","0","0","2","0","0"
"","Checking link from footer to menu page","Проверка отображения заголовков нижнего меню","0","0","15","0","0"
"","Сhecking the possibility of entering a street address","Проверка ввода адреса 1","0","0","2","0","0"
"","Cart functionality checking","Проверка ввода адреса 1","0","0","2","0","0"
"","Navigation menu functionality checking","Проверка видимости каждой кнопки навигационного меню","0","0","3","0","0"
"","Check the visibility of navigation menu","Проверка видимости каждой кнопки навигационного меню","0","0","3","0","0"
"","Navigation menu functionality checking","Переход на страницу 'корзина' с помощью навигационного меню","0","1","2","0","0"
"","Move to cart page throw navigation menu","Переход на страницу 'корзина' с помощью навигационного меню","0","1","2","0","0"
"","Checking titles visibility","Проверка отображения заголовков отделов главной страницы","0","0","3","0","0"
"","Checking footer titles visibility","Проверка отображения заголовков нижнего меню","0","0","15","0","0"
"","Checking link from footer to contact page","Проверка отображения заголовков нижнего меню","0","0","15","0","0"
"","Navigation menu functionality checking","Переход на страницу 'о нас' с помощью навигационного меню","0","0","3","0","0"
"","Move to about page throw navigation menu","Переход на страницу 'о нас' с помощью навигационного меню","0","0","3","0","0"
"","Check goods adding to the cart","Проверка функции добавления товаров в корзину","0","1","2","0","0"
"","Cart functionality checking","Проверка функции добавления товаров в корзину","0","1","2","0","0"
"","Сhecking the possibility of choosing a province","Проверка выбора провинций","0","0","2","0","0"
"","Cart functionality checking","Проверка выбора провинций","0","0","2","0","0"
"","Move to home page throw navigation menu","Переход на домашнюю страницу с помощью навигационного меню","0","0","3","0","0"
"","Navigation menu functionality checking","Переход на домашнюю страницу с помощью навигационного меню","0","0","3","0","0"
"","Cart functionality checking","Проверка пустых полей","0","0","2","0","0"
"","Сhecking for empty fields","Проверка пустых полей","0","0","2","0","0"
"","Cart functionality checking","Проверка ввода города","0","0","2","0","0"
"","Сhecking the possibility of entering a city","Проверка ввода города","0","0","2","0","0"
"","Сhecking the possibility of choosing a country","Проверка выбора страны","0","0","2","0","0"
"","Cart functionality checking","Проверка выбора страны","0","0","2","0","0"
"","Check prices in cart","Проверка подсчета стоимости товаров в корзине","0","0","2","0","0"
"","Cart functionality checking","Проверка подсчета стоимости товаров в корзине","0","0","2","0","0"
"","Navigation menu functionality checking","Переход на страницу 'продукты' с помощью навигационного меню","0","0","3","0","0"
"","Move to products page throw navigation menu","Переход на страницу 'продукты' с помощью навигационного меню","0","0","3","0","0"
"","Navigation menu functionality checking","Переход на страницу 'контакты' с помощью навигационного меню","0","0","3","0","0"
"","Move to contact us page throw navigation menu","Переход на страницу 'контакты' с помощью навигационного меню","0","0","3","0","0"
"","Cart functionality checking","Проверка ввода адреса 2","0","0","2","0","0"
"","Сhecking the possibility of entering a street address 2","Проверка ввода адреса 2","0","0","2","0","0"
"","Cart functionality checking","Проверка ввода названия компании","0","0","2","0","0"
"","Сhecking the possibility of entering a company name","Проверка ввода названия компании","0","0","2","0","0"
"","Cart functionality checking","Проверка ввода номера","0","0","2","0","0"
"","Сhecking the possibility of entering a phone number","Проверка ввода номера","0","0","2","0","0"
